Function	Gene Name	kon_ESC	koff_ESC	OR_ESC	kon_MAF	koff_MAF	OR_MAF				
mRNA Processing	Rbfox2	0.25595725	1.96840204	1.081632653	0.41404266	17.05338235	2.231746032				
mRNA Processing	Khdrbs1	0.2294276	0.26303751	1.642857143	0.33907222	41.66052341	2.192592593				
mRNA Processing	Eif4a3	1.44406698	10.96973804	1.604166667	0.95002707	30.96513526	2.182432432				
mRNA Processing	Rbm38	1.11894327	52.49542445	1.386160714	0.170706	2.59213428	2.173333333				
mRNA Processing	Adar	0.16078375	0.38311804	1.126086957	0.38986093	2.61382679	2.166666667				
mRNA Processing	Srrm1	1.18112451	1.88938618	0	0.44072073	1.8576347	2.166666667				
mRNA Processing	Isy1	1.12442538	197.1301101	1.719298246	0.67776771	8.6516984	2.12244898				
mRNA Processing	Crnkl1	0.2665023	0.40424956	0.64	0.58344007	80.93238854	2.111111111				
mRNA Processing	Cwf19l2	1.03904381	3.40873218	0.103448276	0.60599025	27.79808751	2.099487179				
mRNA Processing	Srsf6	1.44993723	116.3037076	3.08	1.53330944	355.2424167	2.096774194				
mRNA Processing	Cpsf6	0.58510031	1.6917205	0.325791855	0.49660107	5.84230421	2.085106383				
mRNA Processing	Syncrip	0.81396233	2.15536414	1.997159091	0.6244327	7.97338249	2.083333333				
mRNA Processing	Xab2	1.71782835	536.9367612	0	0.41748184	0.98158705	2.069498069				
mRNA Processing	Mfap1b	0.2863327	1.17321256	1.3	0.08405945	0.31701895	2.0625				
mRNA Processing	Iws1	1.34260586	47.07269581	0.336384439	0.54666281	16.80299152	2.058601134				
mRNA Processing	Dbr1	0.43755904	0.31121945	1.079365079	0.18014165	0.93474891	2.020634921				
mRNA Processing	Prkrip1	0.21751927	0.45703085	0.947368421	0.3038085	1.80412507	2.019259259				
mRNA Processing	Scaf8	0.11053041	0.1824852	1.670454545	0.31183324	10.18677647	2.002758621				
mRNA Processing	Frg1	0.72889026	1.47436277	0.638020833	0.27459783	0.672908	1.994418605				
